gene_id	gene_chr	gene_start	gene_end	gene_strand	overlap_ids	HN_trait	LN_trait	gene_description	selection_class	known_gene_note	list_type	priority_score	curation_reason
Sobic.009G239301	9	61504959	61505799	-	common_012; common_019; common_017; common_023; common_021; common_014; common_015; common_018; common_020; common_011; common_016; common_013; common_022	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2021.LN.plantHeigh; X2020.LN.plantHeigh; X2021.LN.daysToFlowe	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen	balancing_landrace_only	NA	HN_LN_NR_common	10	CTP synthase using glutamine/ammonia as nitrogen source; strongest nitrogen-metabolism candidate; balancing landrace overlap.
Sobic.009G250200	9	62349111	62353243	+	common_013; common_011; common_014; common_012; common_015; common_016; common_017; common_018; common_019; common_021; common_020	X2021.HN.plantHeigh	X2021.LN.plantHeigh; X2021.LN.daysToFlowe; X2020.LN.plantHeigh	Transmembrane amino acid transporter protein	NA	NA	HN_LN_NR_common	10	Transmembrane amino-acid transporter; nitrogen transport candidate in common region.
Sobic.009G229200	9	60794812	60799531	-	common_016; common_012; common_021; common_015; common_011; common_014; common_017; common_019; common_013; common_023; common_018; common_022; common_020	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2021.LN.plantHeigh; X2020.LN.plantHeigh; X2021.LN.daysToFlowe	Aux IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations	balancing_improved_only	NA	HN_LN_NR_common	9	Aux/IAA auxin response gene; growth and plant-height candidate; balancing improved overlap.
Sobic.006G136500	6	51310444	51312689	+	common_008; common_009	X2020.HN.stemDiameterUppe	X2020.LN.tillersPerPlan; X2020.LN.rachisDiameterLowe	Belongs to the cytochrome P450 family	balancing_wild_only; balancing_landrace_only	NA	HN_LN_NR_common	8	Cytochrome P450; hormone/secondary metabolism candidate; balancing wild and landrace overlap.
Sobic.009G217600	9	59994088	59997202	-	common_013; common_015; common_016; common_021; common_012; common_018; common_020; common_017; common_022; common_019; common_014; common_011	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2021.LN.plantHeigh; X2020.LN.plantHeigh; X2021.LN.daysToFlowe	Mitogen-activated protein kinase kinase kinase	balancing_wild_only	NA	HN_LN_NR_common	8	MAP kinase kinase kinase; signaling candidate; balancing wild overlap.
Sobic.009G218366	9	60030689	60036891	+	common_011; common_018; common_020; common_012; common_015; common_017; common_016; common_014; common_013; common_021; common_022; common_019	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2021.LN.daysToFlowe; X2020.LN.plantHeigh; X2021.LN.plantHeigh	ABC transporter transmembrane region	balancing_wild_only	NA	HN_LN_NR_common	8	ABC transporter transmembrane-region gene; transport/stress candidate; balancing wild overlap.
Sobic.009G218532	9	60038344	60044411	+	common_014; common_017; common_018; common_011; common_020; common_019; common_013; common_015; common_022; common_012; common_016; common_021	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2021.LN.plantHeigh; X2021.LN.daysToFlowe; X2020.LN.plantHeigh	ABC transporter transmembrane region	balancing_wild_only	NA	HN_LN_NR_common	8	ABC transporter transmembrane-region gene; transport/stress candidate; balancing wild overlap.
Sobic.009G230100	9	60851365	60855096	-	common_019; common_023; common_011; common_021; common_013; common_018; common_020; common_016; common_014; common_015; common_022; common_012; common_017	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2021.LN.plantHeigh; X2021.LN.daysToFlowe; X2020.LN.plantHeigh	Protein kinase domain	balancing_improved_only	NA	HN_LN_NR_common	8	Protein kinase domain gene; signaling candidate; balancing improved overlap.
Sobic.009G230700	9	60875387	60880041	+	common_017; common_022; common_021; common_014; common_015; common_011; common_019; common_016; common_012; common_013; common_018; common_020; common_023	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2021.LN.plantHeigh; X2020.LN.plantHeigh; X2021.LN.daysToFlowe	Myb/SANT-like DNA-binding domain	balancing_improved_only	NA	HN_LN_NR_common	8	MYB/SANT DNA-binding gene; transcriptional regulation candidate; balancing improved overlap.
Sobic.009G237100	9	61344431	61351127	+	common_013; common_022; common_018; common_019; common_014; common_021; common_015; common_017; common_023; common_016; common_011; common_020; common_012	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2021.LN.plantHeigh; X2020.LN.plantHeigh; X2021.LN.daysToFlowe	SBF-like CPA transporter family (DUF4137)	FST_breeding_improved_vs_landrace	NA	HN_LN_NR_common	8	SBF-like CPA transporter family; transporter candidate; FST breeding overlap.
Sobic.009G238500	9	61443412	61444979	-	common_017; common_015; common_022; common_011; common_013; common_019; common_016; common_018; common_021; common_012; common_023; common_014; common_020	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2021.LN.plantHeigh; X2020.LN.plantHeigh; X2021.LN.daysToFlowe	AP2 domain	balancing_landrace_only	NA	HN_LN_NR_common	8	AP2-domain transcription factor; developmental/stress-response candidate; balancing landrace overlap.
Sobic.009G239000	9	61490824	61491779	-	common_023; common_014; common_022; common_012; common_021; common_013; common_018; common_017; common_015; common_011; common_019; common_016; common_020	X2020.HN.plantHeigh; X2021.HN.plantHeigh	X2021.LN.plantHeigh; X2020.LN.plantHeigh; X2021.LN.daysToFlowe	Agamous-like MADS-box protein AGL62	balancing_landrace_only	NA	HN_LN_NR_common	8	Agamous-like MADS-box protein; developmental transcription factor; balancing landrace overlap.
Sobic.009G242200	9	61681465	61686936	+	common_022; common_016; common_019; common_011; common_014; common_013; common_017; common_023; common_015; common_012; common_018; common_021; common_020	X2020.HN.plantHeigh; X2021.HN.plantHeigh	X2020.LN.plantHeigh; X2021.LN.plantHeigh; X2021.LN.daysToFlowe	Mitogen-activated protein kinase	balancing_wild_only; balancing_landrace_only	NA	HN_LN_NR_common	8	Mitogen-activated protein kinase; signaling candidate; balancing wild and landrace overlap.
